company,token,platform,status,last_checked,notes
Anthropic,anthropic,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Airtable,airtable,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Mercury,mercury,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
OpenAI,openai,ashby,verified,2026-09-05T23:24:18,Auto-discovered
Databricks,databricks,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Notion,notion,ashby,verified,2026-09-01T17:44:11,Auto-discovered
Ramp,ramp,ashby,verified,2026-08-17T14:36:34,Auto-discovered
Scale AI,scaleai,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Webflow,webflow,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Vercel,vercel,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Linear,linear,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Replit,replit,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Watershed,watershed,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Runway,runway,ashby,verified,2026-09-05T23:24:18,Auto-discovered
Figma,figma,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Cursor,cursor,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Brex,brex,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Reddit,reddit,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Plaid,plaid,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Supabase,supabase,ashby,verified,2026-08-25T09:23:52,Auto-discovered
PostHog,posthog,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Cohere,cohere,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Twitch,twitch,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Anyscale,anyscale,lever,verified,2026-08-14T23:30:40,Auto-discovered
Abridge,abridge,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Toptal,toptal,lever,verified,2026-08-14T23:30:40,Auto-discovered
Upwork,upwork,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Rula,rula,ashby,verified,2026-08-25T08:25:06,Auto-discovered
Metriport,metriport,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Rho,rho,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Delinea,delinea,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Real,real,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Clasp,clasp,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Abby Care,abby-care,ashby,verified,2026-08-14T23:30:40,Auto-discovered
Notabene,notabene,ashby,verified,2026-08-07T00:15:38,Auto-discovered
Poshmark,poshmark,ashby,verified,2026-07-31T22:04:14,Auto-discovered
Oxman,oxman,ashby,verified,2026-09-05T23:24:23,Auto-discovered
Dash0,dash0,ashby,verified,2026-08-01T00:09:03,Auto-discovered
Braintrust,braintrust,ashby,verified,2026-09-05T23:24:23,Auto-discovered
Warp,warp,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Zapier,zapier,ashby,verified,2026-09-05T23:24:23,Auto-discovered
Backmarket,backmarket,ashby,verified,2026-07-31T23:02:56,Auto-discovered
Retell Ai,retell-ai,ashby,verified,2026-08-25T15:16:30,Auto-discovered
Method,method,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Second Nature,second-nature,ashby,verified,2026-08-01T00:07:09,Auto-discovered
Bjakcareer,bjakcareer,ashby,verified,2026-08-17T11:37:34,Auto-discovered
Opusclip,opusclip,ashby,verified,2026-08-25T08:30:20,Auto-discovered
Kit,kit,ashby,verified,2026-08-24T15:29:19,Auto-discovered
Creatoriq,creatoriq,ashby,verified,2026-08-01T04:16:31,Auto-discovered
Nectar Social,nectar-social,ashby,verified,2026-08-25T08:19:17,Auto-discovered
Livekit,livekit,ashby,verified,2026-07-31T23:04:38,Auto-discovered
Buildout,buildout,ashby,verified,2026-08-25T15:45:26,Auto-discovered
Deepgram,deepgram,ashby,verified,2026-08-16T04:45:25,Auto-discovered
Classdojo,classdojo,ashby,verified,2026-07-31T21:56:24,Auto-discovered
Ashby,ashby,ashby,verified,2026-08-12T12:00:25,Auto-discovered
C1,c1,ashby,verified,2026-07-31T23:04:11,Auto-discovered
Propel,propel,ashby,verified,2026-08-17T12:05:41,Auto-discovered
Going,going,ashby,verified,2026-07-31T23:23:05,Auto-discovered
Withpulley,withpulley,ashby,verified,2026-08-06T14:25:23,Auto-discovered
Weave,weave,ashby,verified,2026-08-25T09:07:10,Auto-discovered
Snowflake,snowflake,ashby,verified,2026-07-31T23:09:08,Auto-discovered
Siro,siro,ashby,verified,2026-08-25T15:13:28,Auto-discovered
Hopper,hopper,ashby,verified,2026-08-25T08:22:55,Auto-discovered
Ridealso,ridealso,ashby,verified,2026-07-31T22:56:22,Auto-discovered
Eliseai,eliseai,ashby,verified,2026-08-06T23:06:34,Auto-discovered
Groundnews,groundnews,ashby,verified,2026-08-01T00:07:09,Auto-discovered
Relevanceai,relevanceai,ashby,verified,2026-08-25T15:57:04,Auto-discovered
Perplexity,perplexity,ashby,verified,2026-08-12T00:15:12,Auto-discovered
Airops,airops,ashby,verified,2026-08-25T09:00:54,Auto-discovered
Clickup,clickup,ashby,verified,2026-07-31T23:21:32,Auto-discovered
Evenup,evenup,ashby,verified,2026-08-15T02:20:08,Auto-discovered
Element451,element451,ashby,verified,2026-07-31T23:20:07,Auto-discovered
Jellyfish,jellyfish,ashby,verified,2026-08-12T12:16:10,Auto-discovered
Kayak,kayak,ashby,verified,2026-07-31T23:07:07,Auto-discovered
Tremendous,tremendous,ashby,verified,2026-07-31T23:20:57,Auto-discovered
Telus Digital,telus-digital,ashby,verified,2026-07-31T22:47:45,Auto-discovered
Assembledhq,assembledhq,ashby,verified,2026-08-30T02:32:53,Auto-discovered
Solidroad,solidroad,ashby,verified,2026-07-31T23:05:33,Auto-discovered
Amplo,amplo,ashby,verified,2026-08-18T14:46:49,Auto-discovered
Futurefitai,futurefitai,ashby,verified,2026-08-01T00:25:01,Auto-discovered
Foundationhealthcareers,foundationhealthcareers,ashby,verified,2026-08-01T00:07:09,Auto-discovered
Xero,xero,ashby,verified,2026-07-31T23:01:17,Auto-discovered
Brellium,brellium,ashby,verified,2026-08-17T14:44:44,Auto-discovered
Zip,zip,ashby,verified,2026-08-20T14:20:09,Auto-discovered
Whatnot,whatnot,ashby,verified,2026-08-25T15:51:44,Auto-discovered
Reevo,reevo,ashby,verified,2026-07-31T23:15:21,Auto-discovered
Profound,profound,ashby,verified,2026-08-17T18:33:24,Auto-discovered
Tango,tango,ashby,verified,2026-08-01T00:09:03,Auto-discovered
Bubble,bubble,ashby,verified,2026-08-15T16:53:16,Auto-discovered
Tradeify,tradeify,ashby,verified,2026-08-01T00:07:09,Auto-discovered
Traba,traba,ashby,verified,2026-07-30T19:52:37,Auto-discovered
Assorthealth,assorthealth,ashby,verified,2026-08-25T09:17:24,Auto-discovered
Jerry.ai,Jerry.ai,ashby,verified,2026-08-24T21:07:19,Auto-discovered
Bland,bland,ashby,verified,2026-08-25T21:24:13,Auto-discovered
Baseten,baseten,ashby,verified,2026-08-25T16:18:51,Auto-discovered
Artian,artian,ashby,verified,2026-08-25T15:18:53,Auto-discovered
Scribdinc,scribdinc,ashby,verified,2026-07-31T23:03:31,Auto-discovered
Owner,owner,ashby,verified,2026-08-24T16:24:15,Auto-discovered
Medely,medely,ashby,verified,2026-08-01T00:25:01,Auto-discovered
Realmalliance,realmalliance,ashby,verified,2026-08-01T00:25:01,Auto-discovered
Tavily,tavily,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Dualentry,dualentry,ashby,verified,2026-08-12T08:11:29,Auto-discovered
Wispr Flow,wispr-flow,ashby,verified,2026-08-28T09:32:27,Auto-discovered
Gamechanger,gamechanger,ashby,verified,2026-08-10T21:56:02,Auto-discovered
Openloophealth,openloophealth,ashby,verified,2026-08-13T03:37:24,Auto-discovered
Bastion,bastion,ashby,verified,2026-08-24T19:40:14,Auto-discovered
Vanta,vanta,ashby,verified,2026-08-01T00:07:09,Auto-discovered
Acorns,acorns,ashby,verified,2026-08-05T18:49:01,Auto-discovered
Clasp Group,clasp-group,ashby,verified,2026-08-08T06:59:58,Auto-discovered
Broccoli,broccoli,ashby,verified,2026-08-15T06:46:46,Auto-discovered
Goodparty,goodparty,ashby,verified,2026-09-01T08:18:11,Auto-discovered
Emerald Ai,emerald-ai,ashby,verified,2026-08-17T17:27:40,Auto-discovered
1Mind,1mind,ashby,verified,2026-08-20T14:19:56,Auto-discovered
Revenuecat,revenuecat,ashby,verified,2026-08-24T17:14:56,Auto-discovered
Imprint,imprint,ashby,verified,2026-08-18T01:59:13,Auto-discovered
Stash,stash,ashby,verified,2026-07-31T22:57:17,Auto-discovered
Sydecar,sydecar,ashby,verified,2026-08-20T14:46:54,Auto-discovered
Matia,matia,ashby,verified,2026-08-01T00:08:22,Auto-discovered
Simspace Corporation,simspace-corporation,ashby,verified,2026-08-01T00:22:09,Auto-discovered
Suno,suno,ashby,verified,2026-08-19T00:48:14,Auto-discovered
Openrouter,openrouter,ashby,verified,2026-08-24T17:50:20,Auto-discovered
Spoton,spoton,ashby,verified,2026-07-31T23:02:26,Auto-discovered
Ltv,ltv,ashby,verified,2026-08-24T22:06:33,Auto-discovered
Wand,wand,ashby,verified,2026-08-24T22:44:19,Auto-discovered
Datalab,datalab,ashby,verified,2026-08-08T06:48:51,Auto-discovered
Teamworks,teamworks,ashby,verified,2026-08-25T08:54:47,Auto-discovered
Pagerduty,pagerduty,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Alphasense,alphasense,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Surveymonkey,surveymonkey,ashby,verified,2026-08-21T03:21:55,Auto-discovered
Komodohealth,komodohealth,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Storable,storable,greenhouse,verified,2026-09-11T17:37:16,Auto-discovered
Apolloio,apolloio,greenhouse,verified,2026-08-25T08:12:13,Auto-discovered
Honeycomb,honeycomb,greenhouse,verified,2026-08-14T23:30:40,Auto-discovered
Redventures,redventures,greenhouse,verified,2026-08-17T17:03:42,Auto-discovered
Route,route,greenhouse,verified,2026-08-14T23:30:40,Auto-discovered
Faire,faire,greenhouse,verified,2026-08-25T15:39:28,Auto-discovered
Flyzipline,flyzipline,greenhouse,verified,2026-08-25T20:47:02,Auto-discovered
Stackadapt,stackadapt,greenhouse,verified,2026-08-14T23:30:40,Auto-discovered
Seed,seed,greenhouse,verified,2026-08-14T23:30:40,Auto-discovered
Mongodb,mongodb,greenhouse,verified,2026-08-12T22:10:33,Auto-discovered
Virtru,virtru,greenhouse,verified,2026-08-19T14:22:32,Auto-discovered
Phaidra,phaidra,greenhouse,verified,2026-08-17T11:39:12,Auto-discovered
Biograph,biograph,ashby,verified,2026-08-12T11:48:51,Auto-discovered
Smartsheet,smartsheet,greenhouse,verified,2026-08-11T02:13:36,Auto-discovered
Billtrust,billtrust,greenhouse,verified,2026-08-13T02:56:37,Auto-discovered
Postscript,postscript,greenhouse,verified,2026-08-20T12:51:46,Auto-discovered
Fictiv,fictiv,greenhouse,verified,2026-08-19T01:24:53,Auto-discovered
Gemini,gemini,greenhouse,verified,2026-08-11T02:13:36,Auto-discovered
Navapbc,navapbc,greenhouse,verified,2026-08-11T13:36:34,Auto-discovered
Shopmy,shopmy,greenhouse,verified,2026-08-25T01:09:02,Auto-discovered
Opensesame,opensesame,greenhouse,verified,2026-08-18T05:21:11,Auto-discovered
